Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
166124000,000003D8,false,0,3,86,06,00,00,00,00,00,00,
166124000,00000408,false,0,1,80,00,00,00,00,00,00,00,
166124000,00000228,false,0,4,40,C0,90,59,00,00,00,00,
166124000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166124000,00000106,false,0,8,00,80,00,00,FF,FF,00,85,
166124000,00000116,false,0,6,00,10,F4,11,84,B0,00,00,
166124000,00000102,false,0,6,0A,96,E0,FF,D3,FF,00,00,
166134000,00000108,false,0,4,00,00,02,18,00,00,00,00,
166134000,00000288,false,0,8,00,00,00,00,00,1B,00,00,
166134000,00000106,false,0,8,00,A0,00,00,FF,F1,00,18,
166134000,00000168,false,0,8,A9,0C,1C,7F,00,00,20,D6,
166134000,000001F8,false,0,8,01,EF,F0,E6,D3,27,00,00,
166134000,000002A8,false,0,8,00,00,00,00,00,00,00,1B,
166134000,00000228,false,0,4,40,C0,A0,13,00,00,00,00,
166134000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166134000,00000116,false,0,6,00,10,F4,11,85,B1,00,00,
166134000,00000256,false,0,8,81,02,00,30,00,60,00,6B,
166134000,00000116,false,0,6,00,10,F4,11,85,B1,00,00,
166134000,00000102,false,0,6,21,96,D9,FF,D3,FF,00,00,
166134000,00000266,false,0,8,85,04,00,00,00,70,0A,4B,
166144000,0000000E,false,0,8,20,6F,3F,FF,08,FF,A0,C1,
166144000,0000021C,false,0,8,00,08,00,00,86,01,00,14,
166144000,0000025C,false,0,8,01,02,26,9A,05,00,4D,04,
166144000,00000228,false,0,4,40,C0,B0,DE,00,00,00,00,
166144000,00000116,false,0,6,00,10,F4,11,86,B2,00,00,
166144000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166144000,00000116,false,0,6,00,10,F4,11,86,B2,00,00,
166144000,00000238,false,0,8,00,FF,00,00,00,00,A1,BF,
166144000,00000102,false,0,6,16,96,D1,FF,D1,FF,00,00,
166154000,00000218,false,0,8,7D,04,FF,07,FF,00,00,BD,
166154000,0000000E,false,0,8,20,6F,3F,FF,08,FF,B0,0C,
166154000,0000028A,false,0,8,0A,00,FF,1F,00,01,00,00,
