ID,Data Bytes
000002BC,3F 40 41 78 7E 64 00 F1 
000002BC,3F 40 41 78 7E 64 00 00 
000002CC,AB 7D 00 00 00 00 00 00 
0000048C,00 
0000059C,01 00 00 00 FE 00 00 09 
0000020A,00 01 01 82 11 3F 11 11 
0000079C,03 00 00 00 00 00 00 00 
00000202,FD 5E 45 9D C4 09 1E 2D 
0000000E,20 6F 3F FF 08 FF D0 98 
00000212,D8 00 12 71 00 
0000000E,20 6F 3F FF 08 FF D0 98 
00000222,00 00 14 96 00 10 70 
0000051A,43 09 00 00 00 00 00 00 
000002A2,00 00 14 96 00 10 70 
000003A8,30 30 31 00 03 00 00 00 
00000232,00 24 68 82 
00000308,E9 EB 10 11 B9 30 00 00 
00000328,8A 8A 8C 02 00 F1 00 0A 
00000328,8A 8A 8C 02 00 00 00 00 
00000168,A9 0C 1C 7F 00 00 40 F6 
000001F8,01 EF F0 06 D3 47 00 00 
000002A8,00 00 00 00 00 00 00 1B 
000003F8,A4 02 9A 02 92 02 96 02 
00000402,10 00 
00000318,7B 78 7F 14 62 00 00 00 
0000029C,00 08 00 00 87 01 00 14 
00000228,40 C0 E0 00 
0000029C,00 08 00 00 87 01 00 14 
000002DC,00 00 00 00 00 00 00 00 
00000358,04 07 50 01 F0 00 00 30 
00000154,04 07 14 00 00 00 00 00 
00000106,00 20 00 00 FF FF 00 25 
000003FC,00 00 00 00 00 00 00 00 
00000116,00 10 F4 11 89 B5 
0000026A,FA 01 00 
0000000E,20 6F 3F FF 08 FF E0 D2 
00000228,40 C0 F0 CD 
000003CC,00 00 00 00 00 00 00 00 
00000154,04 07 14 00 00 00 00 00 
00000106,00 40 00 00 FF FF 00 45 
00000116,00 10 F4 11 8A B6 
00000102,16 96 E0 FF 99 FF 
00000126,02 03 00 00 00 48 09 
00000108,00 00 05 1B 
00000288,00 00 00 00 00 1B 00 00 
00000154,04 07 14 00 00 F1 00 78 
000001F8,01 EF F0 16 D3 57 00 00 
000002A8,00 00 00 00 00 00 00 1B 
00000368,00 5A 1F 00 00 08 00 FF 
00000228,40 C0 00 B2 
000003DC,00 00 00 00 00 00 00 00 
00000754,65 FD FF 00 00 00 00 00 
00000106,00 60 00 00 FF FF 00 65 
00000754,65 FD FF 00 00 00 00 00 
00000116,00 10 F4 11 8B B7 
00000102,15 96 E1 FF BB FF 
00000754,67 00 91 00 00 00 00 00 
00000754,66 00 00 00 00 00 00 00 
00000754,64 00 00 00 00 00 00 00 
00000754,0A 00 00 00 00 00 00 00 
0000020C,00 00 00 00 00 00 F0 00 
0000000E,20 6F 3F FF 08 FF 00 60 
0000040C,00 
0000022C,00 00 2F 8F 00 00 D6 CE 
0000023C,3F 40 41 78 7E 64 00 00 
00000228,40 C0 10 7F 
00000248,30 30 1D 8C 01 15 00 
0000024C,AB 7D 00 00 00 00 00 00 
000003AC,00 00 00 00 00 00 00 00 
00000106,00 80 F1 00 14 13 E8 09 
00000106,00 80 00 00 FF FF 00 85 
0000071C,16 00 00 00 00 00 00 00 
00000116,00 10 F4 11 8C B8 
00000102,21 96 DD FF D4 FF 
0000000E,20 6F 3F FF 08 FF 10 AD 
0000020E,88 10 00 13 BB 00 06 00 
0000033E,00 00 00 00 00 00 00 00 
00000108,00 00 F1 00 
00000106,00 A0 00 00 FF F1 00 BA 
000001F8,01 EF F0 26 D3 67 00 00 
000002A8,00 00 00 00 00 00 00 1B 
00000228,40 C0 20 35 
000003BC,00 55 55 55 01 00 00 00 
00000154,04 07 14 00 00 00 00 00 
000002C8,6E 80 03 7B 00 00 70 A6 
00000116,00 10 F4 11 8D B9 
000002C8,6E 80 03 7B 00 00 70 A6 
00000102,21 96 D6 FF D0 FF 
0000000E,20 6F 3F FF 08 FF 20 E7 
00000228,40 C0 30 F8 
00000154,04 07 14 00 00 00 00 00 
00000106,00 C0 00 00 FF FF 00 C5 
00000116,00 10 F4 11 8E BA 
00000408,90 
000003D8,86 06 00 
00000408,90 
0000000E,20 6F 3F FF 08 FF 30 2A 
00000278,12 00 40 02 04 00 70 CE 
00000288,00 00 00 00 00 1B 00 00 
00000108,00 00 07 1D 
00000168,A9 0C 1C 7F 00 00 70 26 
000001F8,01 EF F0 35 D2 77 00 00 
00000154,04 07 14 00 00 00 00 00 
00000228,40 C0 40 A1 
00000154,04 07 14 00 00 00 00 00 
00000106,00 E0 00 00 FF FF 00 E5 
00000256,81 02 00 30 00 70 00 7B 
00000116,00 10 F4 11 8F BB 
00000102,08 96 D2 FF 9C FF 
00000266,85 04 00 00 00 70 0A 4B 
0000000E,20 6F 3F FF 08 FF 40 73 
0000025C,01 02 26 9A 69 00 53 04 
00000228,40 C0 50 6C 
0000025C,01 02 26 9A 69 00 53 04 
00000238,00 FF 00 00 00 00 B1 72 
00000154,04 07 14 00 00 00 00 00 
00000106,00 00 00 00 FF FF 00 05 
00000116,00 10 F4 11 80 AC 
00000102,23 96 D8 FF 9C FF 
00000338,D6 00 F7 00 27 01 54 54 
0000030A,00 01 7C B3 02 41 00 17 
0000028A,0A 00 FF 1F 00 01 00 00 
000001F8,01 EF F0 46 D3 87 00 00 
000003EA,01 00 00 00 FE 00 00 08 
0000065A,0D 00 00 00 D3 64 00 00 
00000288,00 00 00 00 00 1B 00 00 
00000108,00 00 08 1E 
0000048A,00 00 00 00 00 00 00 00 
00000168,A9 0C 1C 7F 00 00 80 36 
00000228,40 C0 60 26 
000002A8,00 00 00 00 00 00 00 1B 
00000228,40 C0 60 26 
00000125,FF 02 33 0C 
00000138,00 1C 52 00 00 
00000154,04 17 14 00 00 00 00 00 
00000106,00 20 00 00 FF FF 00 25 
00000116,00 90 F4 11 91 3D 
00000102,0A 96 DD FF 9E FF 
0000021A,FE 36 12 FE 69 05 07 AD 
0000023A,00 38 00 12 00 00 00 00 
00000228,40 C0 70 EB 
0000022A,67 01 5E 1D 00 00 00 00 
0000027A,30 30 0D 8C 09 15 00 
0000024A,FE FE FE FE FE FE FE 14 
0000029A,01 36 FE 00 00 00 00 00 
00000210,00 00 E3 1B 1D 86 FF 
0000000E,20 6E 3F FF 08 FF 60 B2 
000002AC,11 00 23 90 00 F1 00 4D 
0000048C,00 
000002BC,3F 40 41 78 7E 64 00 00 
00000154,04 17 14 00 00 00 00 00 
00000106,00 40 00 00 FF FF 00 45 
000002CC,AB 7D 00 00 00 00 00 00 
00000116,00 90 F4 11 92 3E 
00000102,0A 96 E1 FF 9E FF 
0000048C,00 
000005BC,0A 01 12 00 09 00 06 00 
0000079C,04 00 00 00 00 00 00 00 
0000020A,00 01 01 82 21 3F 11 11 
000003A8,30 30 31 00 03 00 00 00 
00000258,2F C8 36 D8 46 05 00 8F 
00000202,FD 5E 45 9D C4 09 1E 2D 
000006F2,02 45 F3 D0 8C 34 2F CD 
00000212,D8 00 12 71 00 
000002A2,00 00 11 96 00 10 70 
00000222,00 00 11 96 00 10 70 
000001F8,01 EF F0 56 D3 97 00 00 
00000402,10 00 
000003A2,FF 0F FF 0F 00 00 00 32 
00000288,00 00 00 00 00 1B 00 00 
00000108,00 00 09 1F 
00000168,A8 0C 1C 7F 00 00 90 45 
00000358,04 07 50 01 F0 00 00 30 
000002A8,00 00 00 00 00 00 00 1B 
00000358,04 07 50 01 F0 00 00 30 
00000228,40 C0 80 94 
0000029C,00 08 00 00 87 01 00 14 
000002DC,00 00 00 00 00 00 00 00 
00000154,04 17 14 00 00 00 00 00 
00000106,00 60 00 00 FF FF 00 65 
00000116,00 90 F4 11 93 3F 
00000102,15 96 DF FF D1 FF 
0000026A,FA 01 00 
0000000E,20 6E 3F FF 08 FF 80 00 
00000228,40 C0 90 59 
00000154,04 17 14 00 00 00 00 00 
00000106,00 80 00 00 FF FF 00 85 
00000116,00 90 F4 11 94 40 
00000126,02 03 00 00 00 48 09 
00000102,21 96 D8 FF D3 FF 
00000108,00 00 0A 20 
00000288,00 00 00 00 00 1B 00 00 
00000154,04 17 14 00 00 F1 00 18 
000001F8,01 EF F0 66 D3 A7 00 00 
000002A8,00 00 00 00 00 00 00 1B 
00000368,00 5A 1F 00 00 08 00 FF 
00000228,40 C0 A0 13 
00000106,00 A0 00 00 FF FF 00 A5 
00000754,65 FD FF 00 00 00 00 00 
00000116,00 90 F4 11 95 41 
00000754,65 FD FF 00 00 00 00 00 
00000102,20 96 D0 FF D0 FF 
00000754,67 00 95 00 00 00 00 00 
00000754,66 00 00 00 00 00 00 00 
00000754,64 00 00 00 00 00 00 00 
00000754,0A 00 00 00 00 00 00 00 
00000268,55 00 1D 02 BD 07 36 00 
00000388,38 38 4C 47 5A 4E 00 00 
0000062A,A0 00 00 00 00 00 00 63 
0000040C,00 
0000020C,00 00 00 00 00 00 F0 00 
0000022C,00 00 1B 8F 00 00 D6 CE 
0000023C,3F 40 41 78 7E 64 00 00 
00000228,40 C0 B0 DE 
00000248,30 30 1D 8C 01 15 00 
0000024C,AB 7D 00 00 00 00 00 00 
00000154,04 17 F1 00 DA 99 E9 09 
00000154,04 17 14 00 00 00 00 00 
00000106,00 C0 00 00 FF FF 00 C5 
00000116,00 90 F4 11 96 42 
00000102,14 96 D0 FF 96 FF 
0000000E,20 6D 3F FF 08 FF B0 80 
0000020E,88 10 00 13 BB 00 06 00 
0000040E,00 
00000168,A9 0C 1C 7F 00 00 B0 66 
00000108,00 00 0B 21 
00000168,A9 0C 1C 7F 00 00 B0 66 
000001F8,01 EF F0 76 D3 B7 00 00 
000002A8,00 00 00 00 00 00 00 1B 
00000228,40 C0 C0 87 
00000106,00 E0 00 00 FF FF 00 E5 
00000154,04 17 14 00 00 00 00 00 
00000116,00 90 F4 11 97 43 
000002C8,6E 80 03 7B 00 00 80 B6 
00000102,07 96 D2 FF 9B FF 
0000000E,20 6D 3F FF 08 FF C0 D9 
000003D8,86 06 00 
00000408,A0 
00000228,40 C0 D0 4A 
00000154,04 17 14 00 00 00 00 00 
00000106,00 00 00 00 FF FF 00 05 
00000116,00 90 F4 11 98 44 
00000102,09 96 D8 FF 9A FF 
0000000E,20 6C 3F FF 08 FF D0 52 
00000106,00 20 00 00 FF F1 00 4C 
00000288,00 00 00 00 00 1B 00 00 
00000168,AC 0C 1C 7F 00 00 C0 79 
000001F8,01 EF F0 86 D3 C7 00 00 
000002A8,00 00 00 00 00 00 00 1B 
00000228,40 C0 E0 00 
00000256,81 02 00 30 00 80 00 8B 
00000154,04 17 14 00 00 00 00 00 
00000256,81 02 00 30 00 80 00 8B 
00000116,00 90 F4 11 99 45 
00000102,0A 96 E1 FF 97 FF 
00000266,85 04 00 00 00 70 0A 4B 
0000000E,20 6C 3F FF 08 FF E0 18 
0000021C,00 08 00 00 86 01 00 14 
00000228,40 C0 F0 CD 
00000154,04 17 14 00 00 00 00 00 
00000238,00 FF 00 00 00 00 C1 2B 
00000154,04 17 14 00 00 00 00 00 
00000106,00 40 00 00 FF FF 00 45 
00000116,00 90 F4 11 9A 46 
00000102,15 96 E1 FF C8 FF 
0000000E,20 6B 3F FF 08 FF F0 1A 
0000028A,0A 00 FF 1F 00 01 00 00 
0000031A,FA DD FF A3 F5 29 FF 87 
00000108,00 00 0D 23 
00000288,00 00 00 00 00 1B 00 00 
00000154,04 17 14 00 00 F1 00 9D 
000001F8,01 EF F0 96 D3 D7 00 00 
000005B8,00 2A 84 14 03 00 00 00 
00000228,40 C0 00 B2 
000002A8,00 00 00 00 00 00 00 1B 
00000106,00 60 00 00 FF FF 00 65 
00000102,23 96 DA FF D0 FF 
00000116,00 90 F4 11 9B 47 
00000102,23 96 DA FF D0 FF 
00000125,FF 02 34 0D 
00000138,00 1D 53 00 00 
0000025A,00 00 00 00 00 00 00 00 
0000023A,00 38 00 12 00 00 00 00 
0000021A,FE 36 12 FE 69 05 07 AD 
0000022A,67 01 5E 1D 00 00 00 00 
00000210,00 00 E3 1D 1F 86 FF 
0000029A,01 36 FE 00 00 00 00 00 
00000106,00 80 00 00 FF FF 00 85 
00000228,40 C0 10 7F 
0000028C,00 00 00 00 00 00 F0 00 
000002AC,13 00 2C 90 00 00 D6 CE 
000002BC,3F 40 41 78 7E 64 00 00 
00000154,04 17 14 00 00 00 00 00 
00000106,00 80 00 00 FF FF 00 85 
000002CC,AB 7D 00 00 00 00 00 00 
00000116,00 90 F4 11 9C 48 
00000102,24 96 D3 FF CF FF 
000003A8,30 30 31 00 03 00 00 00 
0000048C,00 
00000258,2F C8 36 D8 46 05 00 8F 
0000020A,00 01 01 82 31 40 11 11 
0000079C,05 00 00 00 00 00 00 00 
00000212,D8 00 12 71 00 
000006F2,03 4C 33 D3 DC 34 37 CD 
00000288,00 00 00 00 00 1B F1 00 
00000222,00 00 16 96 00 10 70 
000002A2,00 00 16 96 00 10 70 
00000232,05 24 68 82 
00000402,10 00 
000003A2,FF 0F FF 0F 00 00 00 32 
00000168,AE 0C 1C 7F 00 00 E0 9B 
00000108,00 00 0E 24 
00000168,AE 0C 1C 7F 00 00 E0 9B 
000001F8,01 EF F0 A5 D2 E7 00 00 
000002A8,00 00 00 00 00 00 00 1B 
00000228,40 C0 20 35 
0000029C,00 08 00 00 87 01 00 14 
000002DC,00 00 00 00 00 00 00 00 
00000358,04 07 50 01 F0 00 00 30 
00000116,00 90 F4 11 9D 49 
00000106,00 A0 00 00 FF FF 00 A5 
00000116,00 90 F4 11 9D 49 
00000102,0B 96 CF FF C6 FF 
0000026A,FA 01 00 
0000000E,20 6A 3F FF 08 FF 20 A4 
00000228,40 C0 30 F8 
00000154,04 17 14 00 00 00 00 00 
00000106,00 C0 00 00 FF FF 00 C5 
00000102,16 96 D2 FF 97 FF 
00000126,02 03 00 00 00 48 09 
00000102,16 96 D2 FF 97 FF 
000005E8,00 00 00 00 00 00 
0000000E,20 6A 3F FF 08 FF 30 69 
00000288,00 00 00 00 00 1B 00 00 
00000108,00 00 0F 25 
00000168,B0 0C 1C 7F 00 00 F0 AD 
000001F8,01 EF F0 B5 D2 F7 00 00 
00000154,04 17 14 00 00 00 00 00 
00000228,40 C0 40 A1 
00000154,04 17 14 00 00 00 00 00 
00000106,00 E0 00 00 FF FF 00 E5 
00000754,65 FD FF 00 00 00 00 00 
00000116,00 90 F4 11 9F 4B 
00000102,09 96 D6 FF 93 FF 
00000754,67 00 95 00 00 00 00 00 
00000368,00 5A 1F 00 00 08 00 FF 
